Tenure_Length,Random-Agent,Fixed-Agent,Crowd-Agent
10,1.233071079583426,0.2654364997501442,1.1538466458119627
20,1.1362921289037164,0.1293315001750937,0.9034791359844617
30,1.195306674971942,0.09772611038081198,0.7730385723563198
40,1.1910854527391763,0.07406284633420998,0.6489201773115819
50,1.1974144265015652,0.05961065752815523,0.4699537884196439
60,1.137249513431568,0.04980286335868494,0.4145751868777045
70,1.1525430078783225,0.03298667231096426,0.3848445102945824
80,1.1153711376789084,0.039031389035978616,0.3252615752998234
90,1.237188260457101,0.013653484882440831,0.21065376675765743
100,1.148656524022051,0.0,0.0
110,1.2978214683236942,0.0,0.0
120,1.2251915537829334,0.0,0.0
130,1.1432844148241383,0.0,0.0
140,1.1444620826049843,0.0,0.0
150,1.0773183640720476,0.0,0.0
160,1.0230335436318714,0.0,0.0
170,1.198249399614955,0.0,0.0
180,1.205711759679794,0.0,0.0
190,1.1234339126119197,0.0,0.0
200,1.0946573075865205,0.0,0.0
210,1.1026155627481402,0.0,0.0
220,1.1518451191932573,0.0,0.0
230,1.1628437890297705,0.0,0.0
240,1.206013594127893,0.0,0.0
250,1.1765081196866223,0.0,0.0
260,1.1471448293943454,0.0,0.0
270,1.160352069760572,0.0,0.0
280,1.1495064080161699,0.0,0.0
290,1.173065129489237,0.0,0.0
300,1.0262585347422357,0.0,0.0
310,1.0968283635727758,0.0,0.0
320,1.046485221892134,0.0,0.0
330,1.0787338659319565,0.0,0.0
340,1.1547894665403742,0.0,0.0
350,1.178672239380807,0.0,0.0
360,1.1823554728770418,0.0,0.0
370,1.2228069880725587,0.0,0.0
380,1.1357023779602953,0.0,0.0
390,1.0776558443309279,0.0,0.0
400,1.1549232730419905,0.0,0.0
410,1.188601693606928,0.0,0.0
420,1.141193010053698,0.0,0.0
430,1.206208518639136,0.0,0.0
440,1.1227568237130299,0.0,0.0
450,1.1108194570480185,0.0,0.0
460,1.0708919854988084,0.0,0.0
470,1.2472010540210325,0.0,0.0
480,1.0708929199493817,0.0,0.0
490,1.1395626552605211,0.0,0.0
